star	group	ID	ID_alt	star_alt1	star_alt2	origin	snr	R	Rmax	Teff	eTeff	logg	elogg	vmic	evmic	vmac	vsini	e_vsini	[Ca/H]	e[Ca/H]	[Co/H]	e[Co/H]	[Cr/H]	e[Cr/H]	[Fe/H]	e[Fe/H]	[Mg/H]	e[Mg/H]	[Mn/H]	e[Mn/H]	[Ni/H]	e[Ni/H]	[Sc/H]	e[Sc/H]	[Si/H]	e[Si/H]	[Ti/H]	e[Ti/H]	[V/H]	e[V/H]	[Ca 1/H]	e[Ca 1/H]	n[Ca 1/H]	[Co 1/H]	e[Co 1/H]	n[Co 1/H]	[Cr 1/H]	e[Cr 1/H]	n[Cr 1/H]	[Fe 1/H]	e[Fe 1/H]	n[Fe 1/H]	[Fe 2/H]	e[Fe 2/H]	n[Fe 2/H]	[Mg 1/H]	e[Mg 1/H]	n[Mg 1/H]	[Mn 1/H]	e[Mn 1/H]	n[Mn 1/H]	[Ni 1/H]	e[Ni 1/H]	n[Ni 1/H]	[Sc 2/H]	e[Sc 2/H]	n[Sc 2/H]	[Si 1/H]	e[Si 1/H]	n[Si 1/H]	[Ti 1/H]	e[Ti 1/H]	n[Ti 1/H]	[Ti 2/H]	e[Ti 2/H]	n[Ti 2/H]	[V 1/H]	e[V 1/H]	n[V 1/H]	n_spectra	flag
HIP101345	G Subgiant (IV)	HD195564_HAR_1	HIP101345_HARPS_1	HD195564	-	HARPS	902	42000	115000	5514	116	3.95	0.09	1.19	0.02	3.54	2.2	1.2	-0.021	0.034	-0.072	0.04	-0.069	0.018	-0.037	0.03	-0.002	0.027	-0.11	0.048	-0.06	0.015	0.048	0.015	0.033	0.024	-0.044	0.024	-0.121	0.024	-0.021	0.034	34	-0.072	0.04	18	-0.069	0.018	23	-0.047	0.031	193	0.063	0.019	19	-0.002	0.027	2	-0.11	0.048	10	-0.06	0.015	34	0.048	0.015	8	0.033	0.024	12	-0.065	0.023	34	0.062	0.027	7	-0.121	0.024	27	2	-
HIP101345	G Subgiant (IV)	HD195564_NAR_1	HIP101345_NARVAL_1	HD195564	-	NARVAL	369	42000	68000	5514	116	3.95	0.09	1.19	0.02	3.54	0.0	0.8	-0.021	0.034	-0.072	0.04	-0.069	0.018	-0.037	0.03	-0.002	0.027	-0.11	0.048	-0.06	0.015	0.048	0.015	0.033	0.024	-0.044	0.024	-0.121	0.024	-0.021	0.034	34	-0.072	0.04	18	-0.069	0.018	23	-0.047	0.031	193	0.063	0.019	19	-0.002	0.027	2	-0.11	0.048	10	-0.06	0.015	34	0.048	0.015	8	0.033	0.024	12	-0.065	0.023	34	0.062	0.027	7	-0.121	0.024	27	2	-
HIP10234	K Giant (III)	HD13468_FER_1	HIP10234_FEROS_1	HD13468	-	FEROS	121	42000	48000	4676	80	2.37	0.09	1.4	0.04	4.45	1.7	0.6	-0.33	0.043	-0.367	0.063	-0.452	0.059	-0.331	0.047	-0.201	0.056	-0.508	0.101	-0.373	0.037	-0.207	0.04	-0.092	0.05	-0.406	0.056	-0.532	0.061	-0.33	0.043	33	-0.367	0.063	19	-0.452	0.059	23	-0.349	0.049	188	-0.151	0.028	18	-0.201	0.056	2	-0.508	0.101	10	-0.373	0.037	35	-0.207	0.04	8	-0.092	0.05	12	-0.447	0.059	36	-0.221	0.042	8	-0.532	0.061	29	2	-
HIP10234	K Giant (III)	HD13468_HAR_1	HIP10234_HARPS_1	HD13468	-	HARPS	95	42000	115000	4676	80	2.37	0.09	1.4	0.04	4.45	3.8	1.0	-0.33	0.043	-0.367	0.063	-0.452	0.059	-0.331	0.047	-0.201	0.056	-0.508	0.101	-0.373	0.037	-0.207	0.04	-0.092	0.05	-0.406	0.056	-0.532	0.061	-0.33	0.043	33	-0.367	0.063	19	-0.452	0.059	23	-0.349	0.049	188	-0.151	0.028	18	-0.201	0.056	2	-0.508	0.101	10	-0.373	0.037	35	-0.207	0.04	8	-0.092	0.05	12	-0.447	0.059	36	-0.221	0.042	8	-0.532	0.061	29	2	-
HIP102422	K Subgiant (IV)	HD198149_NAR_1	HIP102422_NARVAL_1	HD198149	-	NARVAL	908	42000	68000	4751	73	3.15	0.05	1.0	0.01	3.99	0.5	0.4	-0.35	0.048	-0.302	0.058	-0.395	0.035	-0.318	0.046	-0.228	0.022	-0.435	0.087	-0.294	0.044	-0.2	0.044	-0.103	0.041	-0.386	0.056	-0.447	0.047	-0.35	0.048	32	-0.302	0.058	19	-0.395	0.035	26	-0.336	0.047	187	-0.134	0.033	18	-0.228	0.022	2	-0.435	0.087	10	-0.294	0.044	34	-0.2	0.044	8	-0.103	0.041	11	-0.424	0.062	35	-0.218	0.031	8	-0.447	0.047	30	2	-
HIP103598	K Bright Giant (II)	HD200205_CAF_1	HIP103598_CAFE_1	HD200205	-	CAFE	204	42000	62000	4032	45	1.2	0.06	1.47	0.02	5.28	1.9	4.59	-0.49	0.05	-0.41	0.071	-0.57	0.057	-0.468	0.086	-0.211	0.035	-0.461	0.046	-0.452	0.061	-0.445	0.078	-0.244	0.091	-0.425	0.069	-0.486	0.136	-0.49	0.05	21	-0.41	0.071	16	-0.57	0.057	16	-0.474	0.08	155	-0.411	0.147	14	-0.211	0.035	2	-0.461	0.046	6	-0.452	0.061	26	-0.445	0.078	6	-0.244	0.091	8	-0.403	0.081	16	-0.468	0.044	8	-0.486	0.136	22	2	-
HIP103598	K Bright Giant (II)	HD200205_HER_1	HIP103598_HERMES_1	HD200205	-	HERMES	389	42000	80000	4032	45	1.2	0.06	1.47	0.02	5.28	0.0	0.0	-0.49	0.05	-0.41	0.071	-0.57	0.057	-0.468	0.086	-0.211	0.035	-0.461	0.046	-0.452	0.061	-0.445	0.078	-0.244	0.091	-0.425	0.069	-0.486	0.136	-0.49	0.05	21	-0.41	0.071	16	-0.57	0.057	16	-0.474	0.08	155	-0.411	0.147	14	-0.211	0.035	2	-0.461	0.046	6	-0.452	0.061	26	-0.445	0.078	6	-0.244	0.091	8	-0.403	0.081	16	-0.468	0.044	8	-0.486	0.136	22	2	-
HIP104214	K Dwarf (V)	HD201091_ESP_1	HIP104214_ESPADONS_1	HD201091	61CygA	ESPADONS	968	42000	68000	4398	34	4.63	0.01	0.2	0.39	4.14	1.9	1.2	-0.334	0.076	-0.249	0.094	-0.248	0.141	-0.321	0.144	-0.347	0.014	-0.404	0.038	-0.314	0.085	-0.33	0.139	-0.267	0.161	-0.278	0.127	-0.249	0.078	-0.334	0.076	12	-0.249	0.094	24	-0.248	0.141	27	-0.326	0.139	224	-0.223	0.244	13	-0.347	0.014	3	-0.404	0.038	11	-0.314	0.085	44	-0.33	0.139	12	-0.267	0.161	6	-0.285	0.133	37	-0.25	0.106	9	-0.249	0.078	47	3	-
HIP104214	K Dwarf (V)	HD201091_NAR_1	HIP104214_NARVAL_1	HD201091	61CygA	NARVAL	1320	42000	68000	4398	34	4.63	0.01	0.2	0.39	4.14	5.0	2.0	-0.334	0.076	-0.249	0.094	-0.248	0.141	-0.321	0.144	-0.347	0.014	-0.404	0.038	-0.314	0.085	-0.33	0.139	-0.267	0.161	-0.278	0.127	-0.249	0.078	-0.334	0.076	12	-0.249	0.094	24	-0.248	0.141	27	-0.326	0.139	224	-0.223	0.244	13	-0.347	0.014	3	-0.404	0.038	11	-0.314	0.085	44	-0.33	0.139	12	-0.267	0.161	6	-0.285	0.133	37	-0.25	0.106	9	-0.249	0.078	47	3	-
HIP104217	K Dwarf (V)	HD201092_ESP_1	HIP104217_ESPADONS_1	HD201092	61CygB	ESPADONS	729	42000	68000	4174	47	4.68	0.02	0.2	0.5	4.65	5.0	2.0	-0.452	0.093	-0.31	0.176	-0.435	0.133	-0.591	0.209	-0.55	0.015	-0.564	0.074	-0.5	0.123	-0.47	0.234	0.132	0.043	-0.404	0.106	-0.46	0.078	-0.452	0.093	13	-0.31	0.176	24	-0.435	0.133	27	-0.591	0.209	222			0	-0.55	0.015	3	-0.564	0.074	9	-0.5	0.123	25	-0.47	0.234	11	0.132	0.043	3	-0.424	0.084	28	-0.343	0.174	9	-0.46	0.078	43	3	-
HIP104217	K Dwarf (V)	HD201092_NAR_1	HIP104217_NARVAL_1	HD201092	61CygB	NARVAL	578	42000	68000	4174	47	4.68	0.02	0.2	0.5	4.65	5.01	1.92	-0.452	0.093	-0.31	0.176	-0.435	0.133	-0.591	0.209	-0.55	0.015	-0.564	0.074	-0.5	0.123	-0.47	0.234	0.132	0.043	-0.404	0.106	-0.46	0.078	-0.452	0.093	13	-0.31	0.176	24	-0.435	0.133	27	-0.591	0.209	222			0	-0.55	0.015	3	-0.564	0.074	9	-0.5	0.123	25	-0.47	0.234	11	0.132	0.043	3	-0.424	0.084	28	-0.343	0.174	9	-0.46	0.078	43	3	-
HIP104659	F Dwarf (V)	HD201891_NAR_1	HIP104659_NARVAL_1	HD201891	HD201891	NARVAL	261	42000	68000	6040	44	4.34	0.02	1.25	0.07	6.42	2.93	5.31	-0.791	0.031	-0.858	0.033	-1.052	0.025	-0.966	0.042	-0.644	0.035	-1.183	0.036	-0.989	0.05	-0.838	0.049	-0.82	0.032	-0.693	0.026	-0.76	0.046	-0.791	0.031	51	-0.858	0.033	7	-1.052	0.025	22	-0.964	0.043	233	-0.988	0.041	27	-0.644	0.035	3	-1.183	0.036	10	-0.989	0.05	35	-0.838	0.049	12	-0.82	0.032	17	-0.677	0.024	44	-0.749	0.034	12	-0.76	0.046	18	3	Indirect theta
HIP106039	K Giant (III)	HD204381_HAR_1	HIP106039_HARPS_1	HD204381	-	HARPS	304	42000	115000	5079	31	2.86	0.04	1.45	0.02	4.03	1.0	1.0	-0.087	0.052	-0.145	0.089	-0.12	0.041	-0.122	0.054	-0.082	0.048	-0.148	0.068	-0.18	0.044	-0.133	0.067	-0.059	0.059	-0.125	0.058	-0.13	0.069	-0.087	0.052	17	-0.145	0.089	9	-0.12	0.041	10	-0.121	0.054	89	-0.136	0.049	9	-0.082	0.048	1	-0.148	0.068	5	-0.18	0.044	18	-0.133	0.067	4	-0.059	0.059	6	-0.132	0.055	18	-0.082	0.073	3	-0.13	0.069	15	1	-
HIP108535	F Subgiant (IV)	HD209369_CAF_1	HIP108535_CAFE_1	HD209369	-	CAFE	139	42000	62000	6754	93	3.84	0.05	2.06	0.15	11.84	4.4	1.0	0.068	0.089	0.171	0.093	0.11	0.198	-0.018	0.067	-0.142	0.079	0.021	0.199	-0.04	0.103	-0.077	0.05	-0.044	0.066	-0.041	0.088	0.256	0.084	0.068	0.089	26	0.171	0.093	3	0.11	0.198	12	-0.005	0.068	120	-0.111	0.06	16	-0.142	0.079	2	0.021	0.199	10	-0.04	0.103	15	-0.077	0.05	8	-0.044	0.066	8	-0.026	0.102	16	-0.101	0.035	4	0.256	0.084	4	2	-
HIP108535	F Subgiant (IV)	HD209369_FIE_1	HIP108535_FIES_1	HD209369	-	FIES	172	42000	65000	6754	93	3.84	0.05	2.06	0.15	11.84	4.07	5.98	0.068	0.089	0.171	0.093	0.11	0.198	-0.018	0.067	-0.142	0.079	0.021	0.199	-0.04	0.103	-0.077	0.05	-0.044	0.066	-0.041	0.088	0.256	0.084	0.068	0.089	26	0.171	0.093	3	0.11	0.198	12	-0.005	0.068	120	-0.111	0.06	16	-0.142	0.079	2	0.021	0.199	10	-0.04	0.103	15	-0.077	0.05	8	-0.044	0.066	8	-0.026	0.102	16	-0.101	0.035	4	0.256	0.084	4	2	-
HIP108870	K Dwarf (V)	HD209100_FER_1	HIP108870_FEROS_1	HD209100	-	FEROS	1011	42000	48000	4676	35	4.59	0.01	0.66	0.03	3.67	10.0	0.5	-0.069	0.036	-0.095	0.064	0.0	0.149	-0.082	0.119	-0.148	0.018	-0.105	0.042	-0.122	0.056	-0.138	0.111	-0.099	0.066	-0.042	0.091	0.032	0.102	-0.069	0.036	17	-0.095	0.064	18	0.0	0.149	17	-0.108	0.087	158	0.229	0.503	13	-0.148	0.018	2	-0.105	0.042	10	-0.122	0.056	30	-0.138	0.111	8	-0.099	0.066	10	-0.015	0.1	25	-0.137	0.062	7	0.032	0.102	30	2	-
HIP108870	K Dwarf (V)	HD209100_HAR_1	HIP108870_HARPS_1	HD209100	-	HARPS	994	42000	115000	4676	35	4.59	0.01	0.66	0.03	3.67	5.2	2.0	-0.069	0.036	-0.095	0.064	0.0	0.149	-0.082	0.119	-0.148	0.018	-0.105	0.042	-0.122	0.056	-0.138	0.111	-0.099	0.066	-0.042	0.091	0.032	0.102	-0.069	0.036	17	-0.095	0.064	18	0.0	0.149	17	-0.108	0.087	158	0.229	0.503	13	-0.148	0.018	2	-0.105	0.042	10	-0.122	0.056	30	-0.138	0.111	8	-0.099	0.066	10	-0.015	0.1	25	-0.137	0.062	7	0.032	0.102	30	2	-
HIP109176	F Dwarf (V)	HD210027_HAR_1	HIP109176_HARPS_1	HD210027	-	HARPS	755	42000	115000	6419	141	4.15	0.06	1.44	0.02	8.57	2.8	0.6	-0.126	0.054	-0.283	0.095	-0.267	0.131	-0.188	0.059	-0.147	0.021	-0.316	0.043	-0.252	0.072	-0.247	0.037	-0.132	0.079	-0.187	0.079	-0.18	0.158	-0.126	0.054	33	-0.283	0.095	6	-0.267	0.131	20	-0.204	0.056	174	-0.03	0.091	18	-0.147	0.021	2	-0.316	0.043	6	-0.252	0.072	30	-0.247	0.037	8	-0.132	0.079	10	-0.189	0.088	31	-0.174	0.025	5	-0.18	0.158	23	2	SB2
HIP109176	F Dwarf (V)	HD210027_NAR_1	HIP109176_NARVAL_1	HD210027	-	NARVAL	1683	42000	68000	6419	141	4.15	0.06	1.44	0.02	8.57	1.6	0.3	-0.126	0.054	-0.283	0.095	-0.267	0.131	-0.188	0.059	-0.147	0.021	-0.316	0.043	-0.252	0.072	-0.247	0.037	-0.132	0.079	-0.187	0.079	-0.18	0.158	-0.126	0.054	33	-0.283	0.095	6	-0.267	0.131	20	-0.204	0.056	174	-0.03	0.091	18	-0.147	0.021	2	-0.316	0.043	6	-0.252	0.072	30	-0.247	0.037	8	-0.132	0.079	10	-0.189	0.088	31	-0.174	0.025	5	-0.18	0.158	23	2	SB2
HIP109937	K Bright Giant (II)	HD211388_FIE_1	HIP109937_FIES_1	HD211388	-	FIES	395	42000	65000	4258	41	1.39	0.05	1.44	0.04	4.8	1.9	0.6	0.047	0.096	-0.123	0.112	-0.035	0.093	-0.057	0.105	0.118	0.033			-0.052	0.103	-0.131	0.054	0.052	0.124	-0.012	0.055	0.041	0.176	0.047	0.096	15	-0.123	0.112	15	-0.035	0.093	12	-0.046	0.106	119	-0.145	0.1	16	0.118	0.033	2			0	-0.052	0.103	23	-0.131	0.054	6	0.052	0.124	8	-0.002	0.05	9	-0.028	0.061	6	0.041	0.176	19	2	-
HIP109937	K Bright Giant (II)	HD211388_HER_1	HIP109937_HERMES_1	HD211388	-	HERMES	214	42000	75000	4258	41	1.39	0.05	1.44	0.04	4.8	1.0	0.6	0.047	0.096	-0.123	0.112	-0.035	0.093	-0.057	0.105	0.118	0.033			-0.052	0.103	-0.131	0.054	0.052	0.124	-0.012	0.055	0.041	0.176	0.047	0.096	15	-0.123	0.112	15	-0.035	0.093	12	-0.046	0.106	119	-0.145	0.1	16	0.118	0.033	2			0	-0.052	0.103	23	-0.131	0.054	6	0.052	0.124	8	-0.002	0.05	9	-0.028	0.061	6	0.041	0.176	19	2	-
HIP11095	K Giant (III)	HD15248_HAR_1	HIP11095_HARPS_1	HD15248	-	HARPS	101	42000	115000	4721	52	2.59	0.06	1.41	0.04	3.98	3.0	2.0	0.043	0.064	0.06	0.116	0.06	0.067	-0.006	0.084	0.124	0.078	0.085	0.122	0.001	0.067	0.011	0.143	0.126	0.116	0.059	0.091	0.086	0.146	0.043	0.064	13	0.06	0.116	9	0.06	0.067	8	0.002	0.077	78	-0.084	0.151	9	0.124	0.078	1	0.085	0.122	4	0.001	0.067	16	0.011	0.143	4	0.126	0.116	6	0.053	0.083	15	0.086	0.132	3	0.086	0.146	15	1	-
HIP111944	K Giant (III)	HD214868_FIE_1	HIP111944_FIES_1	HD214868	-	FIES	500	42000	65000	4203	34	1.56	0.06	1.4	0.02	4.87	5.0	1.0	-0.344	0.054	-0.322	0.065	-0.339	0.045	-0.298	0.072	-0.136	0.029	-0.348	0.078	-0.331	0.063	-0.287	0.122	-0.123	0.066	-0.303	0.068	-0.474	0.124	-0.344	0.054	24	-0.322	0.065	16	-0.339	0.045	18	-0.304	0.073	154	-0.236	0.072	16	-0.136	0.029	2	-0.348	0.078	7	-0.331	0.063	30	-0.287	0.122	8	-0.123	0.066	8	-0.301	0.083	22	-0.31	0.027	8	-0.474	0.124	23	2	-
HIP111944	K Giant (III)	HD214868_HER_1	HIP111944_HERMES_1	HD214868	-	HERMES	348	42000	75000	4203	34	1.56	0.06	1.4	0.02	4.87	5.4	1.0	-0.344	0.054	-0.322	0.065	-0.339	0.045	-0.298	0.072	-0.136	0.029	-0.348	0.078	-0.331	0.063	-0.287	0.122	-0.123	0.066	-0.303	0.068	-0.474	0.124	-0.344	0.054	24	-0.322	0.065	16	-0.339	0.045	18	-0.304	0.073	154	-0.236	0.072	16	-0.136	0.029	2	-0.348	0.078	7	-0.331	0.063	30	-0.287	0.122	8	-0.123	0.066	8	-0.301	0.083	22	-0.31	0.027	8	-0.474	0.124	23	2	-
HIP112440	K Giant (III)	HD215665_NAR_1	HIP112440_NARVAL_1	HD215665	-	NARVAL	1480	42000	68000	4848	109	2.12	0.08	1.66	0.04	4.43	2.0	1.0	-0.006	0.037	-0.105	0.063	-0.049	0.046	-0.09	0.048	0.042	0.022	-0.097	0.012	-0.128	0.045	-0.065	0.06	-0.028	0.04	-0.069	0.057	-0.094	0.043	-0.006	0.037	33	-0.105	0.063	21	-0.049	0.046	20	-0.08	0.049	197	-0.163	0.046	26	0.042	0.022	3	-0.097	0.012	6	-0.128	0.045	37	-0.065	0.06	12	-0.028	0.04	11	-0.077	0.058	33	-0.04	0.054	10	-0.094	0.043	38	3	-
HIP112440	K Giant (III)	HD215665_UVE_1	HIP112440_UVES_1	HD215665	-	UVES	353	42000	45254	4848	109	2.12	0.08	1.66	0.04	4.43	3.3	0.3	-0.006	0.037	-0.105	0.063	-0.049	0.046	-0.09	0.048	0.042	0.022	-0.097	0.012	-0.128	0.045	-0.065	0.06	-0.028	0.04	-0.069	0.057	-0.094	0.043	-0.006	0.037	33	-0.105	0.063	21	-0.049	0.046	20	-0.08	0.049	197	-0.163	0.046	26	0.042	0.022	3	-0.097	0.012	6	-0.128	0.045	37	-0.065	0.06	12	-0.028	0.04	11	-0.077	0.058	33	-0.04	0.054	10	-0.094	0.043	38	3	-
HIP112447	F Subgiant (IV)	HD215648_ESP_1	HIP112447_ESPADONS_1	HD215648	-	ESPADONS	500	42000	68000	6223	23	3.95	0.04	1.65	0.02	7.14	2.0	0.6	-0.198	0.034	-0.296	0.052	-0.299	0.027	-0.253	0.028	-0.188	0.018	-0.334	0.019	-0.282	0.033	-0.211	0.019	-0.243	0.055	-0.202	0.023	-0.209	0.046	-0.198	0.034	52	-0.296	0.052	17	-0.299	0.027	32	-0.255	0.029	273	-0.235	0.024	27	-0.188	0.018	3	-0.334	0.019	9	-0.282	0.033	48	-0.211	0.019	12	-0.243	0.055	18	-0.201	0.024	51	-0.208	0.021	12	-0.209	0.046	38	3	-
HIP112447	F Subgiant (IV)	HD215648_NAR_1	HIP112447_NARVAL_1	HD215648	-	NARVAL	2006	42000	68000	6223	23	3.95	0.04	1.65	0.02	7.14	0.7	0.6	-0.198	0.034	-0.296	0.052	-0.299	0.027	-0.253	0.028	-0.188	0.018	-0.334	0.019	-0.282	0.033	-0.211	0.019	-0.243	0.055	-0.202	0.023	-0.209	0.046	-0.198	0.034	52	-0.296	0.052	17	-0.299	0.027	32	-0.255	0.029	273	-0.235	0.024	27	-0.188	0.018	3	-0.334	0.019	9	-0.282	0.033	48	-0.211	0.019	12	-0.243	0.055	18	-0.201	0.024	51	-0.208	0.021	12	-0.209	0.046	38	3	-
HIP112731	K Giant (III)	HD216174_ELO_1	HIP112731_ELODIE_1	HD216174	-	ELODIE	204	42000	45000	4297	36	1.75	0.03	1.44	0.03	4.99	2.4	0.2	-0.475	0.046	-0.414	0.067	-0.676	0.034	-0.559	0.057	-0.021	0.041	-0.801	0.035	-0.541	0.052	-0.33	0.088	-0.15	0.035	-0.368	0.092	-0.601	0.099	-0.475	0.046	32	-0.414	0.067	18	-0.676	0.034	22	-0.572	0.057	185	-0.416	0.062	16	-0.021	0.041	2	-0.801	0.035	8	-0.541	0.052	28	-0.33	0.088	8	-0.15	0.035	10	-0.388	0.108	28	-0.297	0.037	8	-0.601	0.099	27	2	-
HIP112731	K Giant (III)	HD216174_HER_1	HIP112731_HERMES_1	HD216174	-	HERMES	218	42000	75000	4297	36	1.75	0.03	1.44	0.03	4.99	4.2	1.0	-0.475	0.046	-0.414	0.067	-0.676	0.034	-0.559	0.057	-0.021	0.041	-0.801	0.035	-0.541	0.052	-0.33	0.088	-0.15	0.035	-0.368	0.092	-0.601	0.099	-0.475	0.046	32	-0.414	0.067	18	-0.676	0.034	22	-0.572	0.057	185	-0.416	0.062	16	-0.021	0.041	2	-0.801	0.035	8	-0.541	0.052	28	-0.33	0.088	8	-0.15	0.035	10	-0.388	0.108	28	-0.297	0.037	8	-0.601	0.099	27	2	-
HIP112748	K Giant (III)	HD216131_NAR_1	HIP112748_NARVAL_1	HD216131	-	NARVAL	1833	42000	68000	4961	40	2.85	0.03	1.41	0.02	4.01	2.0	1.0	-0.097	0.047	-0.145	0.064	-0.138	0.043	-0.127	0.042	-0.084	0.021	-0.184	0.065	-0.177	0.039	-0.083	0.057	-0.022	0.034	-0.153	0.055	-0.167	0.052	-0.097	0.047	32	-0.145	0.064	19	-0.138	0.043	25	-0.133	0.041	185	-0.073	0.046	20	-0.084	0.021	2	-0.184	0.065	10	-0.177	0.039	36	-0.083	0.057	8	-0.022	0.034	11	-0.171	0.055	35	-0.071	0.056	8	-0.167	0.052	29	2	-
HIP113357	G Dwarf (V)	HD217014_FER_1	HIP113357_FEROS_1	HD217014	-	FEROS	101	42000	48000	5746	72	4.33	0.02	1.16	0.02	3.91	12.7	1.4	0.143	0.023	0.203	0.031	0.165	0.015	0.164	0.019	0.151	0.014	0.177	0.022	0.201	0.013	0.212	0.018	0.203	0.013	0.153	0.018	0.159	0.019	0.143	0.023	82	0.203	0.031	45	0.165	0.015	60	0.161	0.019	471	0.2	0.019	48	0.151	0.014	5	0.177	0.022	24	0.201	0.013	89	0.212	0.018	20	0.203	0.013	28	0.146	0.019	90	0.19	0.018	19	0.159	0.019	74	5	-
HIP113357	G Dwarf (V)	HD217014_HAR_1	HIP113357_HARPS_1	HD217014	-	HARPS	1012	42000	115000	5746	72	4.33	0.02	1.16	0.02	3.91	6.0	1.0	0.143	0.023	0.203	0.031	0.165	0.015	0.164	0.019	0.151	0.014	0.177	0.022	0.201	0.013	0.212	0.018	0.203	0.013	0.153	0.018	0.159	0.019	0.143	0.023	82	0.203	0.031	45	0.165	0.015	60	0.161	0.019	471	0.2	0.019	48	0.151	0.014	5	0.177	0.022	24	0.201	0.013	89	0.212	0.018	20	0.203	0.013	28	0.146	0.019	90	0.19	0.018	19	0.159	0.019	74	5	-
HIP113357	G Dwarf (V)	HD217014_NAR_1	HIP113357_NARVAL_1	HD217014	-	NARVAL	1040	42000	68000	5746	72	4.33	0.02	1.16	0.02	3.91	2.4	0.6	0.143	0.023	0.203	0.031	0.165	0.015	0.164	0.019	0.151	0.014	0.177	0.022	0.201	0.013	0.212	0.018	0.203	0.013	0.153	0.018	0.159	0.019	0.143	0.023	82	0.203	0.031	45	0.165	0.015	60	0.161	0.019	471	0.2	0.019	48	0.151	0.014	5	0.177	0.022	24	0.201	0.013	89	0.212	0.018	20	0.203	0.013	28	0.146	0.019	90	0.19	0.018	19	0.159	0.019	74	5	-
HIP113357	G Dwarf (V)	HD217014_UVE_1	HIP113357_UVES_1	HD217014	-	UVES	1158	42000	107200	5746	72	4.33	0.02	1.16	0.02	3.91	2.2	0.8	0.143	0.023	0.203	0.031	0.165	0.015	0.164	0.019	0.151	0.014	0.177	0.022	0.201	0.013	0.212	0.018	0.203	0.013	0.153	0.018	0.159	0.019	0.143	0.023	82	0.203	0.031	45	0.165	0.015	60	0.161	0.019	471	0.2	0.019	48	0.151	0.014	5	0.177	0.022	24	0.201	0.013	89	0.212	0.018	20	0.203	0.013	28	0.146	0.019	90	0.19	0.018	19	0.159	0.019	74	5	-
HIP114622	K Dwarf (V)	HD219134_ESP_1	HIP114622_ESPADONS_1	HD219134	-	ESPADONS	421	42000	68000	4800	34	4.55	0.01	0.72	0.03	3.51	0.0	0.0	0.053	0.027	0.07	0.049	0.065	0.044	0.043	0.076	0.031	0.017	0.049	0.016	0.034	0.033	0.043	0.091	0.098	0.044	0.078	0.066	0.158	0.081	0.053	0.027	30	0.07	0.049	27	0.065	0.044	30	0.027	0.056	244	0.207	0.279	24	0.031	0.017	3	0.049	0.016	15	0.034	0.033	45	0.043	0.091	12	0.098	0.044	17	0.1	0.071	40	0.004	0.047	12	0.158	0.081	46	3	-
HIP114622	K Dwarf (V)	HD219134_NAR_1	HIP114622_NARVAL_1	HD219134	-	NARVAL	1474	42000	68000	4800	34	4.55	0.01	0.72	0.03	3.51	5.1	1.0	0.053	0.027	0.07	0.049	0.065	0.044	0.043	0.076	0.031	0.017	0.049	0.016	0.034	0.033	0.043	0.091	0.098	0.044	0.078	0.066	0.158	0.081	0.053	0.027	30	0.07	0.049	27	0.065	0.044	30	0.027	0.056	244	0.207	0.279	24	0.031	0.017	3	0.049	0.016	15	0.034	0.033	45	0.043	0.091	12	0.098	0.044	17	0.1	0.071	40	0.004	0.047	12	0.158	0.081	46	3	-
HIP114855	K Giant (III)	HD219449_HAR_1	HIP114855_HARPS_1	HD219449	-	HARPS	749	42000	115000	4631	69	2.32	0.11	1.4	0.02	4.26	3.0	1.0	-0.091	0.035	-0.099	0.061	-0.1	0.034	-0.123	0.048	0.081	0.023	-0.113	0.07	-0.136	0.039	-0.155	0.086	-0.002	0.039	-0.083	0.048	-0.108	0.077	-0.091	0.035	45	-0.099	0.061	27	-0.1	0.034	29	-0.117	0.048	237	-0.174	0.05	27	0.081	0.023	3	-0.113	0.07	11	-0.136	0.039	46	-0.155	0.086	12	-0.002	0.039	15	-0.079	0.044	42	-0.1	0.064	11	-0.108	0.077	47	3	-
HIP114855	K Giant (III)	HD219449_UVE_1	HIP114855_UVES_1	HD219449	-	UVES	524	42000	74450	4631	69	2.32	0.11	1.4	0.02	4.26	0.4	0.4	-0.091	0.035	-0.099	0.061	-0.1	0.034	-0.123	0.048	0.081	0.023	-0.113	0.07	-0.136	0.039	-0.155	0.086	-0.002	0.039	-0.083	0.048	-0.108	0.077	-0.091	0.035	45	-0.099	0.061	27	-0.1	0.034	29	-0.117	0.048	237	-0.174	0.05	27	0.081	0.023	3	-0.113	0.07	11	-0.136	0.039	46	-0.155	0.086	12	-0.002	0.039	15	-0.079	0.044	42	-0.1	0.064	11	-0.108	0.077	47	3	-
HIP114971	K Giant (III)	HD219615_ELO_1	HIP114971_ELODIE_1	HD219615	-	ELODIE	143	42000	45000	4970	43	2.44	0.12	1.32	0.02	4.6	1.6	0.0	-0.24	0.054	-0.325	0.074	-0.453	0.062	-0.459	0.043	-0.073	0.025	-0.629	0.02	-0.473	0.049	-0.27	0.041	-0.308	0.024	-0.179	0.053	-0.312	0.043	-0.24	0.054	36	-0.325	0.074	19	-0.453	0.062	25	-0.449	0.043	190	-0.555	0.034	20	-0.073	0.025	2	-0.629	0.02	9	-0.473	0.049	34	-0.27	0.041	8	-0.308	0.024	11	-0.168	0.057	38	-0.233	0.034	8	-0.312	0.043	30	2	-
