star	group	ID	ID_alt	star_alt1	star_alt2	origin	snr	R	Rmax	Teff	eTeff	logg	elogg	vmic	evmic	vmac	vsini	e_vsini	[Ca/H]	e[Ca/H]	[Co/H]	e[Co/H]	[Cr/H]	e[Cr/H]	[Fe/H]	e[Fe/H]	[Mg/H]	e[Mg/H]	[Mn/H]	e[Mn/H]	[Ni/H]	e[Ni/H]	[Sc/H]	e[Sc/H]	[Si/H]	e[Si/H]	[Ti/H]	e[Ti/H]	[V/H]	e[V/H]	[Ca 1/H]	e[Ca 1/H]	n[Ca 1/H]	[Co 1/H]	e[Co 1/H]	n[Co 1/H]	[Cr 1/H]	e[Cr 1/H]	n[Cr 1/H]	[Fe 1/H]	e[Fe 1/H]	n[Fe 1/H]	[Fe 2/H]	e[Fe 2/H]	n[Fe 2/H]	[Mg 1/H]	e[Mg 1/H]	n[Mg 1/H]	[Mn 1/H]	e[Mn 1/H]	n[Mn 1/H]	[Ni 1/H]	e[Ni 1/H]	n[Ni 1/H]	[Sc 2/H]	e[Sc 2/H]	n[Sc 2/H]	[Si 1/H]	e[Si 1/H]	n[Si 1/H]	[Ti 1/H]	e[Ti 1/H]	n[Ti 1/H]	[Ti 2/H]	e[Ti 2/H]	n[Ti 2/H]	[V 1/H]	e[V 1/H]	n[V 1/H]	n_spectra	flag
HIP3765	K Dwarf (V)	HD4628_NAR_1	HIP3765_NARVAL_1	HD4628	-	NARVAL	876	42000	68000	5093	33	4.64	0.01	0.74	0.04	3.37	1.6	0.0	-0.143	0.026	-0.176	0.04	-0.168	0.027	-0.253	0.035	-0.161	0.017	-0.215	0.025	-0.264	0.029	-0.23	0.043	-0.263	0.021	-0.065	0.064	-0.001	0.047	-0.143	0.026	50	-0.176	0.04	36	-0.168	0.027	45	-0.249	0.033	348	-0.291	0.057	32	-0.161	0.017	4	-0.215	0.025	19	-0.264	0.029	60	-0.23	0.043	16	-0.263	0.021	23	-0.024	0.069	68	-0.254	0.042	15	-0.001	0.047	58	4	-
HIP37664	K Giant (III)	HD62713_HAR_1	HIP37664_HARPS_1	HD62713	-	HARPS	406	42000	115000	4661	32	2.29	0.08	1.4	0.04	4.27	1.6	0.0	-0.074	0.069	-0.082	0.11	-0.075	0.065	-0.103	0.083	0.071	0.041	-0.068	0.115	-0.121	0.058	-0.175	0.144	0.018	0.124	-0.061	0.085	-0.068	0.138	-0.074	0.069	14	-0.082	0.11	9	-0.075	0.065	8	-0.094	0.078	77	-0.183	0.122	9	0.071	0.041	1	-0.068	0.115	4	-0.121	0.058	16	-0.175	0.144	4	0.018	0.124	6	-0.051	0.072	13	-0.094	0.125	4	-0.068	0.138	15	1	-
HIP37826	K Giant (III)	HD62509_ESP_1	HIP37826_ESPADONS_1	HD62509	betGem	ESPADONS	500	42000	68000	4810	14	2.55	0.03	1.35	0.02	4.11	1.6	0.0	-0.002	0.03	-0.089	0.049	-0.021	0.035	-0.08	0.035	0.037	0.015	-0.078	0.066	-0.11	0.026	-0.171	0.047	0.006	0.041	-0.099	0.047	-0.078	0.047	-0.002	0.03	78	-0.089	0.049	47	-0.021	0.035	62	-0.069	0.034	433	-0.175	0.041	49	0.037	0.015	5	-0.078	0.066	25	-0.11	0.026	87	-0.171	0.047	20	0.006	0.041	27	-0.092	0.043	83	-0.128	0.064	19	-0.078	0.047	73	5	-
HIP37826	K Giant (III)	HD62509_HAR_1	HIP37826_HARPS_1	HD62509	betGem	HARPS	344	42000	115000	4810	14	2.55	0.03	1.35	0.02	4.11	1.6	0.0	-0.002	0.03	-0.089	0.049	-0.021	0.035	-0.08	0.035	0.037	0.015	-0.078	0.066	-0.11	0.026	-0.171	0.047	0.006	0.041	-0.099	0.047	-0.078	0.047	-0.002	0.03	78	-0.089	0.049	47	-0.021	0.035	62	-0.069	0.034	433	-0.175	0.041	49	0.037	0.015	5	-0.078	0.066	25	-0.11	0.026	87	-0.171	0.047	20	0.006	0.041	27	-0.092	0.043	83	-0.128	0.064	19	-0.078	0.047	73	5	-
HIP37826	K Giant (III)	HD62509_NAR_1	HIP37826_NARVAL_1	HD62509	betGem	NARVAL	2221	42000	68000	4810	14	2.55	0.03	1.35	0.02	4.11	1.6	0.0	-0.002	0.03	-0.089	0.049	-0.021	0.035	-0.08	0.035	0.037	0.015	-0.078	0.066	-0.11	0.026	-0.171	0.047	0.006	0.041	-0.099	0.047	-0.078	0.047	-0.002	0.03	78	-0.089	0.049	47	-0.021	0.035	62	-0.069	0.034	433	-0.175	0.041	49	0.037	0.015	5	-0.078	0.066	25	-0.11	0.026	87	-0.171	0.047	20	0.006	0.041	27	-0.092	0.043	83	-0.128	0.064	19	-0.078	0.047	73	5	-
HIP37826	K Giant (III)	HD62509_UVE_1	HIP37826_UVES_1	HD62509	betGem	UVES	463	42000	107200	4810	14	2.55	0.03	1.35	0.02	4.11	1.6	0.0	-0.002	0.03	-0.089	0.049	-0.021	0.035	-0.08	0.035	0.037	0.015	-0.078	0.066	-0.11	0.026	-0.171	0.047	0.006	0.041	-0.099	0.047	-0.078	0.047	-0.002	0.03	78	-0.089	0.049	47	-0.021	0.035	62	-0.069	0.034	433	-0.175	0.041	49	0.037	0.015	5	-0.078	0.066	25	-0.11	0.026	87	-0.171	0.047	20	0.006	0.041	27	-0.092	0.043	83	-0.128	0.064	19	-0.078	0.047	73	5	-
HIP3850	G Dwarf (V)	HD4747_FER_1	HIP3850_FEROS_1	HD4747	-	FEROS	188	42000	48000	5351	48	4.55	0.03	0.9	0.04	3.36	1.6	0.0	-0.176	0.037	-0.234	0.051	-0.192	0.023	-0.227	0.031	-0.174	0.038	-0.247	0.019	-0.278	0.034	-0.246	0.032	-0.22	0.026	-0.164	0.036	-0.157	0.035	-0.176	0.037	32	-0.234	0.051	19	-0.192	0.023	26	-0.226	0.028	189	-0.231	0.062	20	-0.174	0.038	2	-0.247	0.019	9	-0.278	0.034	34	-0.246	0.032	8	-0.22	0.026	12	-0.149	0.039	37	-0.233	0.022	8	-0.157	0.035	30	2	-
HIP3850	G Dwarf (V)	HD4747_HER_1	HIP3850_HERMES_1	HD4747	-	HERMES	161	42000	75000	5351	48	4.55	0.03	0.9	0.04	3.36	1.6	0.0	-0.176	0.037	-0.234	0.051	-0.192	0.023	-0.227	0.031	-0.174	0.038	-0.247	0.019	-0.278	0.034	-0.246	0.032	-0.22	0.026	-0.164	0.036	-0.157	0.035	-0.176	0.037	32	-0.234	0.051	19	-0.192	0.023	26	-0.226	0.028	189	-0.231	0.062	20	-0.174	0.038	2	-0.247	0.019	9	-0.278	0.034	34	-0.246	0.032	8	-0.22	0.026	12	-0.149	0.039	37	-0.233	0.022	8	-0.157	0.035	30	2	-
HIP40526	K Bright Giant (II)	HD69267_NAR_1	HIP40526_NARVAL_1	HD69267	-	NARVAL	1079	42000	68000	4080	15	1.28	0.05	1.23	0.02	4.99	1.6	0.0	-0.053	0.075	-0.291	0.105	-0.211	0.088	-0.22	0.114	-0.023	0.022	-0.147	0.025	-0.283	0.143	-0.235	0.122	-0.183	0.135	-0.015	0.116	0.011	0.2	-0.053	0.075	20	-0.291	0.105	16	-0.211	0.088	14	-0.208	0.112	137	-0.339	0.133	14	-0.023	0.022	2	-0.147	0.025	3	-0.283	0.143	27	-0.235	0.122	6	-0.183	0.135	7	0.086	0.15	16	-0.216	0.047	8	0.011	0.2	19	2	-
HIP40526	K Bright Giant (II)	HD69267_UVE_1	HIP40526_UVES_1	HD69267	-	UVES	613	42000	107200	4080	15	1.28	0.05	1.23	0.02	4.99	1.6	0.0	-0.053	0.075	-0.291	0.105	-0.211	0.088	-0.22	0.114	-0.023	0.022	-0.147	0.025	-0.283	0.143	-0.235	0.122	-0.183	0.135	-0.015	0.116	0.011	0.2	-0.053	0.075	20	-0.291	0.105	16	-0.211	0.088	14	-0.208	0.112	137	-0.339	0.133	14	-0.023	0.022	2	-0.147	0.025	3	-0.283	0.143	27	-0.235	0.122	6	-0.183	0.135	7	0.086	0.15	16	-0.216	0.047	8	0.011	0.2	19	2	-
