recno,HIP,HD,Name,GaiaDR3,RA_ICRS,DE_ICRS,ThetaLD,e_ThetaLD,Indirect,r_ThetaLD,GBSV1,GBSV2,Plx,e_Plx,o_Plx,Av,FbolAv0,e_FbolAv0,Fbol,e_Fbol,Teff,e_Teff,reTeff,Lum,e_Lum,Rad,e_Rad,MassB,e_MassB,MassS,e_MassS,logg,e_logg,[Fe/H],e_[Fe/H],Dnu,e_Dnu,r_Dnu,numax,e_numax,r_numax,loggSeis,e_loggSeis,RadSeis,e_RadSeis,MassSeis,e_MassSeis
123,"HIP64394 ","HD114710","* bet Com",1460229442589223424,197.9683,27.8782,1.127,0.011,,"2012ApJ...746..101B",,,108.73,0.16,G,0.0,52.852,0.22,52.298,0.247,5930,30,0.5,1.383,0.008,1.114,0.011,1.042,0.012,1.08,0.013,4.37,0.01,0.06,0.01,,,"                   ",,,"                   ",,,,,,
124,"HIP65721 ","HD117176","*  70 Vir",3740176925743994752,202.1075,13.7788,0.998,0.004,,"2015ApJ...806...60K",,,55.25,0.08,G,0.01,29.898,0.372,29.762,0.414,5473,22,0.4,3.047,0.043,1.942,0.008,1.081,0.005,1.306,0.251,3.94,0.08,-0.06,0.01,,,"                   ",,,"                   ",,,,,,
125,"HIP6592  ","HD8651  "," ",4984231417260290048,21.1699,-41.4925,1.228,0.013,,"2018A&A...616A..68G",,,12.43,0.05,G,0.018,24.121,0.717,24.182,0.712,4685,43,0.9,48.92,1.493,10.622,0.12,1.212,0.088,0.853,0.136,2.39,0.08,-0.2,0.04,,,"                   ",,,"                   ",,,,,,
126,"HIP671   ","HD360   "," ",2429415922764859392,2.0731,-8.8241,0.906,0.015,,"2018A&A...616A..68G",,,9.01,0.04,G,0.045,12.891,0.879,13.104,0.774,4679,79,1.7,50.452,3.013,10.811,0.185,0.955,0.144,0.838,0.177,2.32,0.11,-0.09,0.04,,,"                   ",,,"                   ",,,,,,
127,"HIP67459 ","HD120477","* ups Boo",1243381938292692096,207.3693,15.7979,4.72,0.04,,"1999AJ....118.3032N",,,13.42,0.14,G,0.021,180.726,1.673,180.588,1.884,3950,20,0.5,313.417,7.311,37.815,0.508,1.048,0.067,1.017,0.092,1.3,0.05,-0.4,0.17,,,"                   ",2.6,0.6,"2008ApJ...674L..53S",1.27,0.24,,,,
128,"HIP67927 ","HD121370","* eta Boo",1244946371540479616,208.6712,18.3977,2.134,0.012,,"2014ApJ...781...90B",1,1,87.75,1.24,H,0.006,219.745,0.689,218.405,0.758,6161,18,0.3,8.866,0.252,2.615,0.04,1.643,0.031,1.667,0.165,3.82,0.05,0.25,0.01,39.9,0.1,"2010MNRAS.405.1907B",750.0,37.5,"2005A&A...434.1085C",3.83,0.05,2.817,0.07,1.559,0.072
129,"HIP68594 ","HD122563"," ",3723554268436602240,210.6327,9.6861,0.925,0.011,,"2020A&A...640A..25K",1,1,3.1,0.03,G,0.06,13.233,0.244,13.231,0.244,4642,35,0.8,430.33,11.495,32.081,0.492,0.767,0.023,0.79,0.033,1.32,0.03,-2.67,0.02,,,"                   ",3.1,0.1,"2019A&A...625A..33C",1.38,0.02,,,,
130,"HIP69673 ","HD124897","Arcturus",,213.9153,19.1824,21.05,0.21,,"2008A&A...485..561L",1,1,88.83,0.54,H,0.006,4954.2,32.296,4935.88,33.171,4277,23,0.5,195.517,2.716,25.478,0.298,0.856,0.011,0.944,0.147,1.58,0.07,-0.55,0.01,0.83,0.05,"2010MNRAS.405.1907B",3.5,0.2,"2007MNRAS.382L..48T",1.41,0.05,25.093,3.024,0.624,0.078
131,"HIP70497 ","HD126660","* tet Boo",1604859511344724864,216.2992,51.8507,1.109,0.007,,"2012ApJ...746..101B",,,69.07,0.16,G,0.008,64.538,0.095,64.187,0.097,6292,20,0.3,4.205,0.02,1.726,0.012,1.293,0.041,1.232,0.012,4.06,0.02,-0.03,0.02,,,"                   ",,,"                   ",,,,,,
132,"HIP70791 ","HD127243","* g Boo",1603662211901473408,217.1576,49.8449,0.971,0.007,,"2020A&A...640A..25K",,,10.59,0.04,G,0.033,19.908,0.22,19.85,0.233,5015,23,0.5,55.323,0.773,9.858,0.08,1.508,0.063,0.817,0.025,2.5,0.02,-0.7,0.03,,,"                   ",,,"                   ",,,,,,
133,"HIP7083  ","HD9362  ","* del Phe",4929469381645492864,22.8129,-49.0727,2.301,0.021,,"2018A&A...616A..68G",,,22.79,0.11,G,0.012,89.791,1.302,89.774,1.372,4750,28,0.6,54.026,0.976,10.855,0.112,1.238,0.072,0.924,0.079,2.4,0.05,-0.31,0.03,,,"                   ",,,"                   ",,,,,,
134,"HIP71053 ","HD127665","* rho Boo",1284537517514584704,217.9575,30.3714,3.901,0.008,,"2018AJ....155...30B",,,19.85,0.16,G,0.016,155.446,8.598,154.828,8.283,4181,56,1.3,122.82,6.862,21.129,0.176,0.99,0.045,1.066,0.104,1.8,0.05,-0.17,0.03,,,"                   ",,,"                   ",,,,,,
135,"HIP71681 ","HD128621","* alf Cen B",,219.8961,-60.8375,5.999,0.025,,"2017A&A...597A.137K",1,1,750.81,0.38,A,0.0,886.949,3.123,880.513,3.498,5207,12,0.2,0.488,0.002,0.859,0.004,0.856,0.004,0.957,0.006,4.53,0.01,0.24,0.01,161.38,0.06,"2010MNRAS.405.1907B",4100.0,205.0,"2008ApJ...682.1370K",4.53,0.05,0.865,0.049,0.905,0.011
136,"HIP71683 ","HD128620","* alf Cen A",,219.9021,-60.834,8.502,0.038,,"2017A&A...597A.137K",1,1,750.81,0.38,A,0.0,2754.44,5.333,2730.91,5.438,5804,13,0.2,1.514,0.003,1.217,0.005,1.042,0.006,1.083,0.006,4.29,0.01,0.2,0.01,106.0,1.0,"2010MNRAS.405.1907B",2400.0,120.0,"2008ApJ...682.1370K",4.32,0.05,1.24,0.059,1.111,0.026
137,"HIP72567 ","HD130948"," ",1265976524286377856,222.5659,23.9118,0.569,0.011,,"2013ApJ...771...40B",,,54.95,0.03,G,0.011,12.341,0.074,12.3,0.066,5812,57,1.0,1.273,0.007,1.113,0.022,0.96,0.019,0.993,0.022,4.33,0.03,-0.01,0.02,,,"                   ",,,"                   ",,,,,,
138,"HIP7294  ","HD9408  ","* chi Cas",509342237530006016,23.4828,59.2321,1.64,0.09,,"1999AJ....118.3032N",,,16.26,0.1,G,0.028,46.347,0.127,46.505,0.127,4774,131,2.7,54.979,0.693,10.844,0.599,0.961,0.124,0.945,0.146,2.35,0.11,-0.3,0.02,,,"                   ",,,"                   ",,,,,,
139,"HIP73184 ","HD131977"," ",6232511606838403968,224.3667,-21.4155,1.13,0.014,,"2020MNRAS.493.2377R",,,169.88,0.07,G,0.0,20.241,1.164,19.996,1.095,4657,70,1.5,0.217,0.012,0.715,0.009,0.745,0.015,0.751,0.017,4.6,0.02,0.02,0.04,,,"                   ",,,"                   ",,,,,,
140,"HIP73568 ","HD133124","* ome Boo",1264797229346287744,225.5271,25.0081,3.055,0.077,,"2018AJ....155...30B",,,8.53,0.11,G,0.038,78.913,2.153,79.066,1.992,3994,56,1.4,339.648,12.246,38.507,1.09,0.985,0.083,1.654,0.124,1.37,0.06,-0.1,0.03,,,"                   ",,,"                   ",,,,,,
141,"HIP74666 ","HD135722","* del Boo",1278391075717325312,228.8757,33.3148,2.764,0.03,,"2003AJ....126.2502M",,,27.07,0.13,G,0.016,136.239,1.648,136.1,1.65,4810,30,0.6,58.052,0.898,10.978,0.13,1.407,0.169,0.791,0.139,2.38,0.09,-0.35,0.03,,,"                   ",,,"                   ",,,,,,
142,"HIP74793 ","HD136726","*  11 UMi",1696798367260229376,229.2745,71.8239,2.149,0.023,,"2018AJ....155...30B",,,7.93,0.09,G,0.023,50.309,0.452,50.294,0.427,4253,25,0.6,249.983,6.058,29.136,0.455,1.632,0.105,2.177,0.136,1.78,0.04,-0.02,0.05,,,"                   ",5.9,0.2,"2022AJ....164..135H",1.64,0.03,,,,
143,"HIP74975 ","HD136202","*   5 Ser",4421455530273900032,229.8283,1.7654,0.785,0.023,,"2013ApJ...771...40B",,,39.8,0.08,G,0.023,23.236,0.882,23.538,0.797,5820,99,1.7,4.645,0.158,2.121,0.062,1.228,0.014,1.195,0.013,3.87,0.04,-0.02,0.02,,,"                   ",,,"                   ",,,,,,
144,"HIP7607  ","HD9927  ","* ups Per",399402894487590144,24.4982,48.6282,3.649,0.007,,"2018AJ....155...30B",,,18.55,0.2,G,0.023,160.937,9.202,159.669,8.25,4356,56,1.3,145.035,8.12,21.15,0.232,1.258,0.15,2.058,0.175,1.99,0.07,0.05,0.03,,,"                   ",,,"                   ",,,,,,
145,"HIP7643  ","HD10142 "," ",5010675118584277248,24.6145,-36.5283,0.964,0.006,,"2018A&A...616A..68G",,,9.75,0.03,G,0.024,15.119,0.332,15.167,0.308,4705,28,0.6,49.87,1.057,10.63,0.074,1.162,0.212,0.831,0.115,2.38,0.1,-0.13,0.04,,,"                   ",,,"                   ",,,,,,
146,"HIP76976 ","HD140283"," ",6268770373590148224,235.7629,-10.9335,0.327,0.005,,"2018MNRAS.475L..81K",1,1,16.3,0.03,G,0.058,3.94,0.014,3.995,0.015,5788,45,0.8,4.699,0.024,2.157,0.033,0.769,0.0,1.183,0.238,3.75,0.09,-2.48,0.03,,,"                   ",,,"                   ",,,,,,
147,"HIP77052 ","HD140538","* psi Ser",4423865487962417024,236.0076,2.5152,0.597,0.015,,"2013ApJ...771...40B",,,67.6,0.04,G,0.008,12.209,0.506,12.235,0.486,5667,91,1.6,0.837,0.033,0.95,0.024,0.956,0.037,0.995,0.03,4.47,0.04,0.05,0.01,,,"                   ",,,"                   ",,,,,,
148,"HIP78072 ","HD142860","* gam Ser",1193030490492925824,239.1133,15.6616,1.217,0.005,,"2012ApJ...746..101B",,,89.56,0.18,G,0.0,78.442,0.41,77.475,0.43,6296,16,0.2,3.019,0.021,1.461,0.007,1.144,0.026,1.118,0.006,4.16,0.01,-0.18,0.01,,,"                   ",,,"                   ",,,,,,
149,"HIP79672 ","HD146233","*  18 Sco",4345775217221821312,243.9053,-8.3694,0.676,0.006,,"2011A&A...526L...4B",1,1,70.74,0.06,G,0.008,17.624,0.184,17.509,0.174,5824,30,0.5,1.094,0.011,1.027,0.009,0.992,0.014,1.041,0.016,4.42,0.01,0.03,0.01,133.4,1.3,"2010MNRAS.405.1907B",3170.0,158.5,"2011A&A...526L...4B",4.44,0.05,1.036,0.056,1.057,0.035
150,"HIP7981  ","HD10476 ","* 107 Psc",96331172942614528,25.624,20.2685,1.0,0.004,,"2013ApJ...771...40B",,,130.82,0.15,G,0.0,23.011,1.174,23.036,1.264,5129,71,1.4,0.421,0.023,0.822,0.003,0.813,0.008,0.821,0.016,4.52,0.01,-0.04,0.01,,,"                   ",,,"                   ",,,,,,
151,"HIP80843 ","HD148897","  * s Her",1297158777130486144,247.6398,20.4792,1.917,0.045,,"2021ApJ...922..163V",,,4.71,0.08,G,0.095,39.85,0.449,39.069,0.387,4227,51,1.2,550.47,19.477,43.76,1.268,0.866,0.064,0.945,0.119,1.11,0.07,-0.92,0.1,,,"                   ",,,"                   ",,,,,,
152,"HIP8102  ","HD10700 ","* tau Cet",2452378776434477184,26.017,-15.9375,2.054,0.011,,"2020MNRAS.493.2377R",1,1,273.81,0.17,G,0.0,120.052,0.458,119.184,0.455,5397,15,0.3,0.497,0.002,0.806,0.004,0.748,0.002,0.75,0.01,4.5,0.01,-0.51,0.01,169.3,0.3,"2010MNRAS.405.1907B",4490.0,224.5,"2009A&A...494..237T",4.58,0.05,0.882,0.053,0.766,0.013
153,"HIP81300 ","HD149661","*  12 Oph",4358031335898505472,249.0894,-2.3246,0.724,0.011,,"2012ApJ...757..112B",,,101.07,0.05,G,0.0,15.032,0.25,14.923,0.247,5408,47,0.9,0.457,0.008,0.77,0.012,0.896,0.01,0.91,0.007,4.62,0.02,0.03,0.01,,,"                   ",,,"                   ",,,,,,
154,"HIP8159  ","HD10697 ","* 109 Psc",95652018353917056,26.2326,20.0831,0.547,0.012,,"2013ApJ...771...40B",,,30.19,0.04,G,0.015,8.71,0.084,8.711,0.088,5438,61,1.1,2.987,0.031,1.948,0.043,1.143,0.008,1.284,0.226,3.94,0.08,0.14,0.01,,,"                   ",,,"                   ",,,,,,
155,"HIP81693 ","HD150680","* zet Her A",,250.3215,31.6027,2.367,0.051,,"2003AJ....126.2502M",,,93.32,0.47,H,0.0,207.792,11.224,205.396,10.395,5760,96,1.7,7.372,0.38,2.727,0.06,1.438,0.016,1.393,0.017,3.72,0.03,0.03,0.02,43.0,0.5,"2010A&A...509A..77K",700.0,50.0,"2010A&A...509A..77K",3.78,0.08,2.189,0.091,2.055,0.145
156,"HIP83000 ","HD153210","* kap Oph",4444057469252265984,254.4171,9.375,3.608,0.041,,"2016ApJS..227....4H",,,37.11,0.2,G,0.025,179.455,8.944,177.604,9.927,4499,68,1.5,40.31,2.294,10.453,0.131,1.04,0.07,1.49,0.196,2.49,0.07,0.02,0.03,,,"                   ",34.8,2.5,"2008ApJ...674L..53S",2.43,0.08,,,,
157,"HIP8362  ","HD10780 "," ",512167948043650816,26.9368,63.8525,0.763,0.018,,"2012ApJ...746..101B",,,99.59,0.04,G,0.0,15.36,0.585,15.217,0.526,5293,77,1.5,0.48,0.017,0.824,0.019,0.858,0.027,0.887,0.025,4.55,0.03,0.03,0.02,,,"                   ",,,"                   ",,,,,,
158,"HIP8404  ","HD11037 "," ",2512824943566639232,27.1084,3.6855,0.89,0.019,,"2020A&A...639A..67N",,,8.83,0.05,G,0.027,14.352,0.328,14.401,0.338,4834,59,1.2,57.732,1.505,10.837,0.239,1.054,0.232,0.813,0.353,2.33,0.21,-0.13,0.04,,,"                   ",,,"                   ",,,,,,
159,"HIP84862 ","HD157214","* w Her",1333760419707327744,260.1649,32.4677,0.725,0.012,,"2013ApJ...771...40B",,,68.56,0.06,G,0.008,20.249,0.131,20.142,0.149,5825,49,0.8,1.339,0.01,1.137,0.019,0.847,0.005,0.858,0.029,4.26,0.03,-0.39,0.01,,,"                   ",,,"                   ",,,,,,
160,"HIP84950 ","HD157681"," ",1419240920415509376,260.439,53.4204,1.908,0.013,,"2016AJ....152...66B",,,4.23,0.04,G,0.057,34.623,0.677,34.533,0.596,4108,23,0.6,603.24,15.449,48.497,0.565,1.68,0.077,2.184,0.08,1.35,0.03,-0.23,0.03,,,"                   ",,,"                   ",,,,,,
161,"HIP85235 ","HD158633"," ",1637110042813188608,261.2504,67.3067,0.573,0.01,,"2013ApJ...771...40B",,,78.19,0.02,G,0.007,7.936,0.15,7.917,0.145,5188,51,1.0,0.405,0.007,0.788,0.014,0.732,0.006,0.739,0.009,4.51,0.02,-0.46,0.01,,,"                   ",,,"                   ",,,,,,
162,"HIP85258 ","HD157244","* bet Ara",5922444483103229952,261.3249,-55.53,5.997,0.037,,"2015A&A...582A..49H",1,,4.56,0.21,G,0.193,411.625,4.89,384.151,4.083,4232,17,0.4,5774.458,535.388,141.398,6.57,7.889,0.412,5.891,0.068,0.97,0.06,0.5,0.1,,,"                   ",,,"                   ",,,,,,
163,"HIP86614 ","HD162003","* psi01 Dra A",1651268660203160448,265.4837,72.1489,0.949,0.025,,"2012ApJ...746..101B",,,43.95,0.86,G,0.013,37.421,0.965,37.219,1.045,5936,89,1.5,6.023,0.29,2.322,0.076,1.331,0.02,1.293,0.019,3.82,0.04,0.01,0.03,,,"                   ",,,"                   ",,,,,,
164,"HIP86742 ","HD161096","* bet Oph",4473334474604992384,265.8681,4.5673,4.498,0.032,,"2016ApJS..227....4H",,,39.23,0.2,G,0.025,295.204,2.381,295.74,2.026,4577,18,0.4,60.064,0.738,12.327,0.108,0.825,0.115,1.665,0.124,2.33,0.07,0.06,0.04,4.1,0.2,"2010A&A...509A..77K",46.0,2.5,"2010A&A...509A..77K",2.55,0.06,14.103,1.379,1.725,0.174
165,"HIP86796 ","HD160691","* mu. Ara",5945941905576552064,266.0362,-51.8349,0.763,0.015,1,"2015A&A...582A..49H",1,1,64.09,0.09,G,0.009,24.828,0.256,24.694,0.241,5974,61,1.0,1.879,0.019,1.28,0.025,1.17,0.018,1.201,0.019,4.3,0.03,0.29,0.01,90.0,1.0,"2010MNRAS.405.1907B",2000.0,100.0,"2005A&A...440..609B",4.25,0.06,1.454,0.067,0.931,0.059
166,"HIP86974 ","HD161797","* mu. Her",4594497769766809216,266.6147,27.7207,1.88,0.008,,"2018AJ....155...30B",,,119.92,0.15,G,0.0,122.135,0.841,121.215,0.885,5665,16,0.3,2.635,0.02,1.686,0.007,1.123,0.005,1.194,0.115,4.05,0.04,0.25,0.01,64.2,0.2,"2017ApJ...836..142G",1216.0,11.0,"2017ApJ...836..142G",4.02,0.01,1.692,0.014,1.081,0.016
167,"HIP87808 ","HD163770","* tet Her",4609802834185436928,269.0633,37.2505,3.15,0.003,,"2009MNRAS.394.1925V",,,4.1,0.12,G,0.052,130.19,2.544,129.351,2.6,4448,23,0.5,2405.144,148.856,82.604,2.419,5.754,0.338,5.89,0.066,1.37,0.04,-0.03,0.15,,,"                   ",,,"                   ",,,,,,
168,"HIP87833 ","HD164058","* gam Dra",,269.1515,51.4889,9.86,0.128,,"2003AJ....126.2502M",,,21.14,0.1,H,0.019,843.48,14.569,843.677,15.565,4018,32,0.8,590.072,12.234,50.147,0.693,1.791,0.098,2.177,0.146,1.33,0.04,-0.08,0.08,,,"                   ",,,"                   ",,,,,,
169,"HIP88348 ","HD164922"," ",4582680493669880704,270.6286,26.313,0.412,0.01,,"2016ApJ...830...46F",,,45.52,0.02,G,0.017,4.776,0.006,4.778,0.006,5392,66,1.2,0.721,0.001,0.973,0.024,0.904,0.016,0.944,0.03,4.43,0.03,0.18,0.02,,,"                   ",,,"                   ",,,,,,
170,"HIP8837  ","HD11695 ","* psi Phe",4942522955488925696,28.4108,-46.3031,8.13,0.2,,"2004A&A...413..711W",1,,9.75,0.17,G,0.021,,,281.045,59.688,3362,183,5.4,924.072,198.882,89.652,2.703,0.769,0.038,0.842,0.076,0.44,0.06,-1.24,0.24,,,"                   ",,,"                   ",,,,,,
171,"HIP89047 ","HD167042"," ",2149564787289902848,272.6318,54.2866,0.831,0.007,,"2020A&A...640A...2S",,,20.13,0.03,G,0.02,14.213,0.617,14.227,0.717,4987,66,1.3,10.974,0.554,4.438,0.037,1.434,0.098,2.351,0.3,3.41,0.06,0.04,0.02,17.17,0.07,"2022AJ....164..135H",249.2,12.5,"2022AJ....164..135H",3.3,0.06,4.548,0.08,1.412,0.037
172,"HIP8928  ","HD11977 ","* eta02 Hyi",4697508196671120000,28.7339,-67.6473,1.528,0.013,,"2018A&A...616A..68G",,,14.74,0.09,G,0.016,44.618,0.698,44.435,0.793,4890,30,0.6,63.925,1.382,11.145,0.117,1.514,0.113,2.277,0.177,2.61,0.05,-0.15,0.02,,,"                   ",,,"                   ",,,,,,
173,"HIP89348 ","HD168151","*  36 Dra",2161275788716592256,273.4743,64.3973,0.664,0.014,,"2016A&A...586A..94L",,,43.18,0.09,G,0.014,27.368,0.036,27.332,0.041,6569,69,1.1,4.582,0.02,1.653,0.035,1.243,0.036,1.185,0.015,4.09,0.03,-0.29,0.02,,,"                   ",,,"                   ",,,,,,
174,"HIP89962 ","HD168723","* eta Ser",4269932382607207040,275.3275,-2.8988,3.062,0.048,,"2016ApJS..227....4H",,,52.44,0.2,G,0.015,166.727,4.074,165.814,3.82,4801,47,1.0,18.847,0.457,6.278,0.101,1.006,0.054,1.411,0.101,2.92,0.04,-0.2,0.02,10.1,0.3,"2010A&A...517A..22M",125.0,6.3,"2004ESASP.559..113B",2.99,0.05,6.468,0.391,1.383,0.106
175,"HIP90344 ","HD170693","*  42 Dra",2256800156349110528,276.4964,65.5635,2.041,0.043,,"2010ApJ...710.1365B",,,11.06,0.08,G,0.029,50.502,0.297,50.423,0.266,4367,46,1.1,128.841,1.984,19.841,0.442,0.893,0.026,1.197,0.066,1.86,0.04,-0.45,0.02,1.57,0.02,"2022AJ....164..135H",10.0,0.3,"2022AJ....164..135H",1.88,0.04,20.401,0.532,1.055,0.075
176,"HIP9094  ","HD11964 "," ",2462426800883134336,29.29,-10.2424,0.607,0.015,,"2013ApJ...771...40B",,,29.82,0.02,G,0.01,8.165,0.008,8.179,0.008,5082,63,1.2,2.875,0.005,2.189,0.054,1.124,0.015,1.596,0.291,3.88,0.08,0.11,0.01,,,"                   ",,,"                   ",,,,,,
177,"HIP91949 ","HD173701"," ",2117279002732678656,281.1463,43.8333,0.332,0.006,,"2012ApJ...760...32H",,,37.01,0.02,G,0.019,2.923,0.004,2.928,0.004,5315,48,0.9,0.668,0.001,0.964,0.017,0.904,0.011,0.971,0.028,4.44,0.03,0.3,0.02,149.2,1.8,"2019MNRAS.489.1753Y",3574.7,11.4,"2017ApJ...835..172L",4.47,0.01,0.892,0.022,1.094,0.065
