recno,HIP,HD,Name,GaiaDR3,RA_ICRS,DE_ICRS,ThetaLD,e_ThetaLD,Indirect,r_ThetaLD,GBSV1,GBSV2,Plx,e_Plx,o_Plx,Av,FbolAv0,e_FbolAv0,Fbol,e_Fbol,Teff,e_Teff,reTeff,Lum,e_Lum,Rad,e_Rad,MassB,e_MassB,MassS,e_MassS,logg,e_logg,[Fe/H],e_[Fe/H],Dnu,e_Dnu,r_Dnu,numax,e_numax,r_numax,loggSeis,e_loggSeis,RadSeis,e_RadSeis,MassSeis,e_MassSeis
178,"HIP92043 ","HD173667","* 110 Her",4530744134231683840,281.4155,20.5463,1.0,0.006,,"2012ApJ...746..101B",,,51.67,0.12,G,0.011,57.066,0.161,56.758,0.19,6426,20,0.3,6.645,0.038,2.081,0.013,1.452,0.029,1.394,0.076,3.95,0.03,-0.04,0.02,,,"                   ",,,"                   ",,,,,,
179,"HIP92167 ","HD175305"," ",2268048503896398720,281.7768,74.7254,0.484,0.006,,"2020A&A...640A..25K",,1,6.41,0.01,G,0.035,4.49,0.005,4.503,0.006,4902,30,0.6,34.258,0.115,8.118,0.101,0.795,0.007,0.846,0.011,2.53,0.02,-1.45,0.03,5.86,0.02,"2022AJ....164..135H",52.2,0.4,"2022AJ....164..135H",2.62,0.01,8.107,0.061,1.007,0.038
180,"HIP92512 ","HD175306","* omi Dra",2156134953382133632,282.8004,59.3883,2.189,0.007,,"2015ApJ...809..159R",,,9.57,0.2,G,0.052,63.334,1.117,63.357,1.213,4464,23,0.5,216.225,9.941,24.593,0.52,1.109,0.102,1.588,0.15,1.78,0.06,-0.53,0.05,,,"                   ",6.6,0.3,"2022AJ....164..135H",1.7,0.05,,,,
181,"HIP92984 ","HD175726"," ",4281201414717499520,284.1549,4.2651,0.346,0.007,,"2012ApJ...760...32H",,,37.65,0.03,G,0.023,5.408,0.02,5.411,0.02,6070,62,1.0,1.193,0.005,0.988,0.02,1.069,0.019,1.081,0.015,4.48,0.03,-0.04,0.03,97.2,0.5,"2009A&A...506...33M",1915.0,200.0,"2009A&A...506...33M",4.23,0.11,1.203,0.099,0.499,0.031
182,"HIP93427 ","HD177153"," ",2103877089862772352,285.4153,41.4901,0.289,0.006,,"2012ApJ...760...32H",,,24.18,0.01,G,0.025,3.62,0.005,3.642,0.005,6016,63,1.0,1.947,0.003,1.285,0.027,1.04,0.019,1.057,0.018,4.24,0.03,-0.05,0.02,103.9,0.3,"2019MNRAS.489.1753Y",2248.6,4.6,"2017ApJ...835..172L",4.3,0.01,1.231,0.01,1.255,0.079
183,"HIP93429 ","HD176678","* 12 Aql",4254220979971917056,285.4201,-5.7391,2.463,0.012,,"2018AJ....155...30B",,,21.57,0.22,G,0.033,84.131,7.751,82.189,7.63,4491,105,2.3,55.214,5.248,12.277,0.139,1.085,0.105,1.185,0.282,2.31,0.11,-0.08,0.07,,,"                   ",,,"                   ",,,,,,
184,"HIP9440  ","HD12438 ","* pi. For",5020586872310485632,30.3113,-30.0018,1.091,0.016,,"2018A&A...616A..68G",,,11.27,0.07,G,0.016,23.877,0.346,23.864,0.388,4954,42,0.8,58.725,1.201,10.408,0.166,1.425,0.233,0.89,0.051,2.45,0.08,-0.58,0.02,,,"                   ",,,"                   ",,,,,,
185,"HIP94755 ","HD181096"," ",2127789646700855040,289.2141,46.9991,0.443,0.007,,"2019MNRAS.489..928S",,,23.82,0.02,G,0.022,10.858,0.028,10.893,0.027,6390,51,0.8,6.001,0.018,2.0,0.032,1.297,0.052,1.241,0.061,3.94,0.03,-0.25,0.02,53.92,0.2,"2019MNRAS.489..928S",960.0,15.0,"2019MNRAS.489..928S",3.94,0.02,2.011,0.024,1.273,0.061
186,"HIP95362 ","HD182736"," ",2126261703496964096,291.0141,44.9335,0.436,0.003,,"2012ApJ...760...32H",,,17.31,0.01,G,0.026,4.863,0.008,4.876,0.012,5268,18,0.3,5.086,0.014,2.708,0.019,1.339,0.009,1.871,0.294,3.77,0.07,-0.11,0.02,34.7,0.17,"2014A&A...572L...5M",566.9,2.3,"2017ApJ...844..102H",3.67,0.01,2.603,0.026,1.31,0.03
187,"HIP95447 ","HD182572","* b Aql",4315804351350378496,291.2425,11.9444,0.845,0.025,,"2012ApJ...746..101B",,,67.02,0.07,G,0.008,24.738,0.142,24.629,0.146,5673,84,1.5,1.714,0.011,1.356,0.04,1.068,0.023,1.134,0.025,4.22,0.04,0.38,0.01,,,"                   ",,,"                   ",,,,,,
188,"HIP96014 ","HD184293"," ",2135864391374790784,292.8305,50.3067,1.548,0.022,,"2016AJ....152...66B",,,7.1,0.05,G,0.036,28.129,0.721,28.205,0.746,4336,42,1.0,174.886,5.242,23.442,0.372,0.992,0.068,1.574,0.133,1.79,0.05,-0.35,0.04,,,"                   ",,,"                   ",,,,,,
189,"HIP96100 ","HD185144","* sig Dra",2261614264931057664,293.09,69.6612,1.254,0.011,,"2012ApJ...746..101B",,,173.49,0.07,G,0.0,41.275,0.173,40.976,0.181,5289,24,0.5,0.426,0.002,0.777,0.007,0.777,0.008,0.808,0.018,4.56,0.02,-0.21,0.01,,,"                   ",,,"                   ",,,,,,
190,"HIP96441 ","HD185395","* tet Cyg",2135110401277424384,294.1106,50.2211,0.749,0.007,,"2016A&A...586A..94L",,,54.27,0.09,G,0.013,42.774,0.102,42.693,0.098,6914,33,0.5,4.531,0.018,1.484,0.014,1.389,0.016,1.394,0.022,4.24,0.01,-0.03,0.03,83.9,0.4,"2016ApJ...831...17G",1829.0,54.0,"2016ApJ...831...17G",4.24,0.03,1.646,0.04,1.26,0.038
191,"HIP96837 ","HD185958","* bet Sge",1823991938314881152,295.2622,17.476,1.764,0.012,,"2009MNRAS.394.1925V",,,7.38,0.11,G,0.071,64.802,0.563,64.253,0.494,4990,20,0.4,368.739,11.352,25.699,0.421,3.755,0.05,3.865,0.103,2.2,0.02,0.0,0.03,,,"                   ",,,"                   ",,,,,,
192,"HIP96895 ","HD186408","*  16 Cyg A",2135550755683405952,295.454,50.5251,0.539,0.007,,"2013MNRAS.433.1262W",,,47.32,0.02,G,0.016,11.313,0.075,11.321,0.073,5849,39,0.7,1.58,0.01,1.225,0.016,1.019,0.012,1.048,0.014,4.28,0.02,0.08,0.01,103.4,1.0,"2019MNRAS.489.1753Y",2188.5,4.6,"2017ApJ...835..172L",4.28,0.01,1.193,0.024,1.076,0.047
193,"HIP96901 ","HD186427","*  16 Cyg B",2135550755683407232,295.4666,50.5175,0.49,0.006,,"2013MNRAS.433.1262W",,,47.35,0.02,G,0.016,9.089,0.01,9.091,0.01,5807,36,0.6,1.267,0.002,1.113,0.014,0.99,0.012,1.03,0.014,4.35,0.02,0.07,0.01,116.7,1.2,"2019MNRAS.489.1753Y",2561.3,5.6,"2017ApJ...835..172L",4.35,0.01,1.092,0.023,1.028,0.043
194,"HIP97527 ","HD187637"," ",2076894387328378240,297.3256,41.5825,0.231,0.006,,"2012ApJ...760...32H",,,19.05,0.02,G,0.03,2.67,0.004,2.688,0.003,6236,81,1.3,2.315,0.006,1.304,0.034,1.125,0.024,1.124,0.022,4.26,0.03,-0.09,0.02,105.7,0.02,"2017ApJ...835..172L",2364.2,4.9,"2017ApJ...835..172L",4.33,0.01,1.273,0.009,1.356,0.106
195,"HIP98036 ","HD188512","* bet Aql",4296708789290712064,298.8283,6.4068,2.133,0.012,,"2020MNRAS.493.2377R",,,73.52,0.14,G,0.0,102.48,0.356,101.653,0.404,5090,15,0.3,5.878,0.032,3.119,0.019,1.264,0.025,1.828,0.332,3.63,0.08,-0.15,0.02,26.0,0.65,"2015A&A...580A.141L",410.0,20.0,"2008ApJ...682.1370K",3.53,0.05,3.317,0.176,1.041,0.055
196,"HIP98269 ","HD189349"," ",2075067858006232320,299.5099,40.9268,0.417,0.005,,"2022A&A...658A..48K",,,5.02,0.01,G,0.087,4.079,0.016,4.153,0.008,5175,31,0.6,51.513,0.228,8.931,0.109,0.723,0.057,0.716,0.006,2.39,0.04,-0.59,0.03,4.24,0.05,"2014A&A...572L...5M",29.3,0.5,"2018ApJS..236...42Y",2.38,0.02,8.932,0.213,0.702,0.03
197,"HIP98337 ","HD189319","* gam Sge",1823067317695766784,299.6893,19.4921,6.089,0.011,,"2021AJ....162..198B",1,1,11.34,0.17,G,0.048,286.843,7.625,286.721,8.733,3904,30,0.8,696.903,29.786,57.731,0.872,1.165,0.063,1.7,0.091,1.06,0.04,-0.26,0.06,,,"                   ",,,"                   ",,,,,,
198,"HIP98624 ","HD188887","* mu.02 Pav",6427311635257037056,300.4686,-66.944,1.595,0.011,,"2018A&A...616A..68G",,,13.6,0.06,G,0.023,31.193,0.663,31.21,0.674,4381,28,0.6,52.742,1.231,12.609,0.103,1.031,0.045,1.635,0.376,2.35,0.1,0.11,0.1,,,"                   ",,,"                   ",,,,,,
199,"HIP98767 ","HD190360"," ",2029433521248546304,300.9059,29.8968,0.698,0.019,,"2016A&A...586A..94L",,,62.49,0.04,G,0.009,14.51,0.125,14.449,0.13,5463,75,1.4,1.156,0.01,1.201,0.033,0.951,0.008,0.975,0.013,4.26,0.03,0.22,0.01,,,"                   ",,,"                   ",,,,,,
200,"HIP98819 ","HD190406","*  15 Sge",1821708351374312064,301.0259,17.0702,0.584,0.01,,"2012ApJ...751...97C",,,56.27,0.04,G,0.01,13.123,0.04,13.073,0.04,5825,50,0.9,1.29,0.004,1.116,0.019,0.991,0.018,1.028,0.02,4.35,0.02,0.05,0.02,,,"                   ",,,"                   ",,,,,,
201,"HIP99663 ","HD192781"," ",2237040042612803328,303.3651,60.6406,1.859,0.002,,"2010ApJ...710.1365B",,,5.38,0.04,G,0.053,31.884,0.773,32.023,0.793,4084,25,0.6,345.809,9.987,37.151,0.279,1.081,0.062,1.478,0.09,1.4,0.04,-0.24,0.04,,,"                   ",,,"                   ",,,,,,
