#atmos ID, Teff [K], log(g) [cgs], [Fe/H], [alpha/Fe], mass, Vturb [km/s], A(X), pointer
'p2500_g+3.0_m0.0_t02_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	3.0000	-0.2500	0.1000	0.00	2.00	7.2500       7096193 
'p2500_g+3.0_m0.0_t02_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	3.0000	-0.5000	0.2000	0.00	2.00	7.0000       7369085 
'p2500_g+3.0_m0.0_t02_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	3.0000	-0.7500	0.3000	0.00	2.00	6.7500       7641977 
'p2500_g+3.0_m0.0_t02_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.0000	-1.0000	0.4000	0.00	2.00	6.5000       7914869 
'p2500_g+3.0_m0.0_t02_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.0000	-1.5000	0.4000	0.00	2.00	6.0000       8187761 
'p2500_g+3.0_m0.0_t02_st_z-2.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.0000	-2.0000	0.4000	0.00	2.00	5.5000       8460653 
'p2500_g+3.0_m0.0_t02_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.0000	-2.5000	0.4000	0.00	2.00	5.0000       8733545 
'p2500_g+3.0_m0.0_t05_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.0000	0.0000	0.0000	0.00	5.00	7.5000       9006437 
'p2500_g+3.5_m0.0_t00_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.0000	0.0000	0.00	0.00	7.5000       9279329 
'p2500_g+3.5_m0.0_t00_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.2500	0.0000	0.00	0.00	7.7500       9552221 
'p2500_g+3.5_m0.0_t00_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.5000	0.0000	0.00	0.00	8.0000       9825113 
'p2500_g+3.5_m0.0_t00_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.7500	0.0000	0.00	0.00	8.2500      10098005 
'p2500_g+3.5_m0.0_t00_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	1.0000	0.0000	0.00	0.00	8.5000      10370897 
'p2500_g+3.5_m0.0_t00_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	3.5000	-0.2500	0.1000	0.00	0.00	7.2500      10643789 
'p2500_g+3.5_m0.0_t00_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	3.5000	-0.5000	0.2000	0.00	0.00	7.0000      10916681 
'p2500_g+3.5_m0.0_t00_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	3.5000	-0.7500	0.3000	0.00	0.00	6.7500      11189573 
'p2500_g+3.5_m0.0_t00_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-1.0000	0.4000	0.00	0.00	6.5000      11462465 
'p2500_g+3.5_m0.0_t00_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-1.5000	0.4000	0.00	0.00	6.0000      11735357 
'p2500_g+3.5_m0.0_t00_st_z-2.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-2.0000	0.4000	0.00	0.00	5.5000      12008249 
'p2500_g+3.5_m0.0_t00_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-2.5000	0.4000	0.00	0.00	5.0000      12281141 
'p2500_g+3.5_m0.0_t01_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.0000	0.0000	0.00	1.00	7.5000      12554033 
'p2500_g+3.5_m0.0_t01_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.2500	0.0000	0.00	1.00	7.7500      12826925 
'p2500_g+3.5_m0.0_t01_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.5000	0.0000	0.00	1.00	8.0000      13099817 
'p2500_g+3.5_m0.0_t01_st_z+0.75_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.7500	0.0000	0.00	1.00	8.2500      13372709 
